BGC,log(HighestMean_AllClasses),class_discriminitive,LDA_score,LEfSe_pvalue,manual_pvalue,NCBI refrence sequence acession number,Taxa Name,Phylum,smNRPS 
O2.UC44.2__NODE_5051_length_6488_cov_1.74382__6488__bacteriocin__ANTISMASH__0_6488,0,-,-,-,-,NZ_AFOJ01000004,Lactobacillus ruminis SPM0211,Firmicutes,
V1.UC51.4__NODE_631_length_37330_cov_3.5685__33935__arylpolyene__ANTISMASH__0_33935,2.443053012,-,-,-,0.605054191,NC_018011,Alistipes finegoldii (strain DSM 17242 / JCM 16770 / AHN 2437 / CCUG 46020 / CIP 107999),Bacteroidetes,
V1.UC37.0__NODE_1355_length_17365_cov_8.09076__10975__bacteriocin__ANTISMASH__6390_17365,2.860745892,-,-,-,0.045195092,N/A,N/A,Unassigned,
V1.UC40.0__NODE_1950_length_15791_cov_7.39286__15791__nrps__ANTISMASH__0_15791,4.15078909,C,3.805728203,1.08E-07,1.08E-07,NZ_LT907978,Eubacterium hallii,Firmicutes,
O2.UC58.0__NODE_2686_length_10674_cov_8.65034__10674__microcin__ANTISMASH__0_10674,3.775333628,-,-,-,0.42957136,NZ_LT996885,Dialister sp. Marseille-P5638,Firmicutes,
V1.CD18.3__NODE_525_length_34560_cov_3.39339__30574__arylpolyene__ANTISMASH__0_30574,2.361160574,-,-,-,0.347704122,NZ_UGHS01000002,Haemophilus pittmaniae,Proteobacteria,
V1.UC11.5__NODE_121_length_111148_cov_7.08689__47506__arylpolyene__ANTISMASH__49485_96991,0,-,-,-,-,NZ_FQZN01000002,Bacteroides stercorirosoris,Bacteroidetes,
V1.UC11.5__NODE_195_length_91064_cov_10.1457__48991__nrps__ANTISMASH__24740_73731,3.894265833,-,-,-,0.056769453,NZ_LT546010,Blautia sp. Marseille-P2398,Firmicutes,
O2.UC2.2__NODE_961_length_26871_cov_9.35244__26871__thiopeptide__ANTISMASH__0_26871,2.775500414,-,-,-,0.340920066,NZ_CZAJ01000006,Eubacterium rectale,Firmicutes,
V1.CD36.0__NODE_2801_length_13423_cov_22.0976__13423__lantipeptide__ANTISMASH__0_13423,4.163782295,-,-,-,0.014575553,NZ_LT546009,Blautia sp. Marseille-P2398,Firmicutes,
V1.UC14.1__NODE_357_length_50803_cov_2.69591__31177__nrps__ANTISMASH__19626_50803,2.517426378,-,-,-,0.134856718,NZ_JNJP01000001,Bilophila wadsworthia ATCC 49260,Proteobacteria,
O2.UC60.2__NODE_659_length_26294_cov_1.77613__26294__nrps__ANTISMASH__0_26294,2.079867535,-,-,-,0.43932307,N/A,N/A,Unassigned,
O2.UC23.2__NODE_1468_length_15771_cov_3.63311__15771__lantipeptide__ANTISMASH__0_15771,2.693810015,-,-,-,0.265137084,N/A,N/A,Unassigned,
V1.UC52.1__NODE_2938_length_14699_cov_2.0532__14699__resorcinol__ANTISMASH__0_14699,2.950424844,-,-,-,0.0198065,NZ_JH376593,Paraprevotella clara YIT 11840,Bacteroidetes,
V1.UC40.0__NODE_7_length_197690_cov_5.4288__41140__resorcinol__ANTISMASH__146937_188077,1.443868219,-,-,-,0.586543543,N/A,N/A,Unassigned,
O2.UC4.2__NODE_2182_length_15336_cov_2.11282__15336__lantipeptide__ANTISMASH__0_15336,2.358386298,-,-,-,0.056553659,N/A,N/A,Unassigned,
V1.UC35.4__NODE_8727_length_5896_cov_5.32238__5896__lantipeptide__ANTISMASH__0_5896,1.212609287,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.CD17.0__NODE_1268_length_20512_cov_22.045__20512__nrps__ANTISMASH__0_20512,3.113589136,-,-,-,0.639344049,N/A,N/A,Unassigned,
O2.UC53.2__NODE_15_length_202583_cov_6.21664__47723__arylpolyene__ANTISMASH__49849_97572,3.883288848,-,-,-,0.054240068,NZ_NFKW01000008,Bacteroides ovatus,Bacteroidetes,
V1.UC26.4__NODE_7192_length_5476_cov_1.53385__5476__t1pks__ANTISMASH__0_5476,0,-,-,-,-,N/A,N/A,Unassigned,
V1.CD17.4__NODE_256_length_66412_cov_97.0822__33289__lantipeptide__ANTISMASH__33123_66412,3.512295186,-,-,-,0.275053864,NZ_CZAW01000034,Blautia wexlerae,Firmicutes,
O2.UC2.0__NODE_2029_length_10511_cov_6.13007__10511__lantipeptide__ANTISMASH__0_10511,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC30.0__NODE_562_length_33779_cov_2.07247__15428__lantipeptide__ANTISMASH__18351_33779,1.877390171,-,-,-,0.571992385,NZ_AKCB01000002,Coprobacillus cateniformis,Firmicutes,
V1.UC26.0__NODE_810_length_27637_cov_3.26525__27637__nrps__ANTISMASH__0_27637,0,-,-,-,-,NZ_QGTH01000001,Finegoldia magna,Firmicutes,
V1.UC16.0__NODE_20_length_126585_cov_7.25916__16603__bacteriocin__ANTISMASH__109982_126585,3.032094748,-,-,-,0.924378706,NZ_NSIW01000016,Streptococcus salivarius,Firmicutes,
O2.UC47.2__NODE_37_length_124954_cov_8.04613__60121__nrps__ANTISMASH__15822_75943,2.761025665,-,-,-,0.109846143,N/A,N/A,Unassigned,
V1.CD35.1__NODE_3189_length_6839_cov_2.87736__6839__nrps__ANTISMASH__0_6839,1.775740542,-,-,-,0.387446431,N/A,N/A,Unassigned,
O2.UC54.2__NODE_212_length_55069_cov_8.34191__28282__terpene__ANTISMASH__26787_55069,2.894131233,-,-,-,0.284451845,N/A,N/A,Unassigned,
O2.UC50.2__NODE_136_length_64641_cov_3.35432__47363__nrps-ladderane__ANTISMASH__17278_64641,2.349306459,-,-,-,0.17089665,N/A,N/A,Unassigned,
O2.UC56.0__NODE_1610_length_18299_cov_2.75164__18299__arylpolyene__ANTISMASH__0_18299,2.369605231,-,-,-,0.213827244,N/A,N/A,Unassigned,
O2.UC57.0__NODE_211_length_50732_cov_47.7828__31847__arylpolyene__ANTISMASH__18885_50732,3.386293493,-,-,-,0.43932307,N/A,N/A,Unassigned,
O2.UC3.2__NODE_2046_length_12958_cov_2.83422__12958__bacteriocin__ANTISMASH__0_12958,0,-,-,-,-,NC_015975,Lactobacillus ruminis (strain ATCC 27782 / RF3),Firmicutes,
V1.UC50.1__NODE_5110_length_8067_cov_1.79955__8067__nrps__ANTISMASH__0_8067,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC10.2__NODE_1022_length_25593_cov_6.21607__25593__nrps__ANTISMASH__0_25593,1.719806656,-,-,-,0.268836049,N/A,N/A,Unassigned,
V1.UC43.0__NODE_6440_length_7157_cov_2.74655__7157__bacteriocin__ANTISMASH__0_7157,2.832662669,-,-,-,0.056553659,N/A,N/A,Unassigned,
V1.CD29.0__NODE_876_length_27681_cov_4.20416__27681__other__ANTISMASH__0_27681,2.486465365,-,-,-,0.17089665,N/A,N/A,Unassigned,
V1.UC62.0__NODE_2381_length_16998_cov_3.90916__14919__lantipeptide__ANTISMASH__2079_16998,2.711869368,-,-,-,0.030116129,N/A,N/A,Unassigned,
O2.UC34.0__NODE_1960_length_9348_cov_1.70031__9348__lassopeptide__ANTISMASH__0_9348,2.117223727,-,-,-,0.661108793,NZ_LXOU01000007,Streptococcus salivarius,Firmicutes,
O2.UC60.2__NODE_4996_length_5817_cov_2.27508__5817__arylpolyene__ANTISMASH__0_5817,2.059573194,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.CD22.0__NODE_206_length_86595_cov_6.52306__44296__nrps__ANTISMASH__14983_59279,2.882033956,-,-,-,0.022735666,N/A,N/A,Unassigned,
V1.UC27.0__NODE_221_length_47298_cov_35.7941__47298__nrps__ANTISMASH__0_47298,2.984989331,-,-,-,0.343412228,N/A,N/A,Unassigned,
O2.UC60.0__NODE_4_length_262054_cov_23.2222__42592__other__ANTISMASH__39658_82250,3.660756665,C,3.391275789,0.003130517,0.003130517,N/A,N/A,Unassigned,
V1.UC36.0__NODE_1936_length_14668_cov_2.17122__12803__bacteriocin__ANTISMASH__1865_14668,2.486412425,-,-,-,0.109846143,N/A,N/A,Unassigned,
V1.CD34.0__NODE_85_length_103702_cov_21.1009__51636__arylpolyene__ANTISMASH__52066_103702,3.099939909,-,-,-,0.213827244,N/A,N/A,Unassigned,
V1.UC4.5__NODE_604_length_49625_cov_4.52514__26666__nrps__ANTISMASH__22959_49625,2.243574937,-,-,-,0.879300119,NZ_PPUK01000015,Eggerthella lenta,Actinobacteria,
V1.CD38.0__NODE_2669_length_14338_cov_7.24358__6257__bacteriocin__ANTISMASH__8081_14338,2.938770501,-,-,-,0.970316006,NZ_KV831751,Streptococcus sp. HMSC064D12,Firmicutes,
V1.CD35.0__NODE_35_length_186011_cov_19.9468__24535__bacteriocin__ANTISMASH__161476_186011,2.501053433,CD,2.582169457,0.001282594,0.001282594,N/A,N/A,Unassigned,
V1.UC58.0__NODE_7831_length_5607_cov_2.75648__5607__arylpolyene__ANTISMASH__0_5607,2.920835587,C,2.742477629,5.50E-05,5.50E-05,NC_021030,Alistipes shahii WAL 8301,Bacteroidetes,
V1.UC48.0__NODE_320_length_55902_cov_6.06813__42820__nrps__ANTISMASH__13082_55902,2.054609715,-,-,-,0.340920066,N/A,N/A,Unassigned,
V1.CD7.4__NODE_132_length_76953_cov_16.3885__52413__nrps__ANTISMASH__9925_62338,2.634682095,CD,2.526054746,0.001541137,0.001541137,NZ_DS499699,Clostridium scindens ATCC 35704,Firmicutes,
O2.UC59.2__NODE_918_length_27642_cov_3.35506__27642__nrps__ANTISMASH__0_27642,2.721507083,-,-,-,0.272281922,N/A,N/A,Unassigned,
V1.UC54.0__NODE_776_length_46907_cov_48.022__34081__nrps__ANTISMASH__0_34081,3.061432214,-,-,-,0.03332187,NZ_CZBR01000003,Ruminococcus torques,Firmicutes,
O2.UC34.2__NODE_2036_length_9913_cov_3.45689__9913__lantipeptide__ANTISMASH__0_9913,2.199513811,-,-,-,0.347704122,NZ_BCYD01000042,Bifidobacterium pseudocatenulatum,Actinobacteria,
V1.CD18.3__NODE_40_length_166683_cov_10.5209__78756__nrps-t1pks__ANTISMASH__0_78756,2.792174374,-,-,-,0.011928313,NZ_KE699120,Escherichia coli HVH 30 (4-2661829),Proteobacteria,
V1.UC26.0__NODE_869_length_26234_cov_5.26349__26234__nrps__ANTISMASH__0_26234,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC5.3__NODE_105_length_119164_cov_20.2079__48982__nrps__ANTISMASH__24957_73939,2.539266369,-,-,-,0.213827244,NZ_OLMR01000003,Anaeromassilibacillus sp. Marseille-P3876,Firmicutes,
V1.UC10.2__NODE_1242_length_22239_cov_2.60192__22239__arylpolyene__ANTISMASH__0_22239,3.288555375,-,-,-,0.103922706,NZ_LRGD01000022,Bacteroides cellulosilyticus,Bacteroidetes,
V1.UC35.4__NODE_4980_length_10448_cov_4.70865__10448__bacteriocin__ANTISMASH__0_10448,2.742071452,-,-,-,0.088119766,N/A,N/A,Unassigned,
V1.CD20.4__NODE_129_length_99060_cov_5.73596__47362__t1pks__ANTISMASH__39230_86592,2.236274173,-,-,-,0.065953933,N/A,N/A,Unassigned,
V1.CD10.0__NODE_896_length_8486_cov_4.51987__8486__microcin-lassopeptide__ANTISMASH__0_8486,3.13538781,-,-,-,0.011928313,NZ_MOKO01000121,Escherichia coli,Proteobacteria,
V1.UC49.1__NODE_3628_length_11122_cov_2.37318__11122__nrps__ANTISMASH__0_11122,0.855533872,-,-,-,0.586543543,N/A,N/A,Unassigned,
O2.UC29.2__NODE_1207_length_16775_cov_5.14187__16775__nrps__ANTISMASH__0_16775,2.360940155,-,-,-,0.136937121,N/A,N/A,Unassigned,
O2.UC38.0__NODE_569_length_24953_cov_7.40971__24953__nrps__ANTISMASH__0_24953,3.143199943,-,-,-,0.347704122,NZ_QIXM01000038,Klebsiella variicola,Proteobacteria,
V1.CD24.0__NODE_2926_length_10662_cov_1.48204__10662__nrps__ANTISMASH__0_10662,3.326143888,-,-,-,0.139316944,N/A,N/A,Unassigned,
O2.UC35.2__NODE_4523_length_7773_cov_1.10275__7773__arylpolyene__ANTISMASH__0_7773,2.183490715,-,-,-,0.198828571,N/A,N/A,Unassigned,
O2.UC30.0__NODE_3701_length_8852_cov_2.13482__8852__lantipeptide__ANTISMASH__0_8852,1.478002028,-,-,-,0.340920066,N/A,N/A,Unassigned,
O2.UC29.0__NODE_2213_length_9695_cov_1.42842__9695__other__ANTISMASH__0_9695,2.945147622,C,2.723544702,0.003130517,0.003130517,N/A,N/A,Unassigned,
V1.UC26.4__NODE_3803_length_10545_cov_12.469__10545__bacteriocin__ANTISMASH__0_10545,0,-,-,-,-,N/A,N/A,Unassigned,
V1.CD24.0__NODE_140_length_82329_cov_9.0358__33423__lantipeptide__ANTISMASH__48906_82329,2.973691976,-,-,-,0.223982463,N/A,N/A,Unassigned,
O2.UC40.0__NODE_190_length_56801_cov_3.30735__41236__arylpolyene__ANTISMASH__4859_46095,2.357352711,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.UC41.0__NODE_362_length_40355_cov_3.91275__40355__lantipeptide__ANTISMASH__0_40355,3.743993179,-,-,-,0.020832568,NZ_AXVN01000039,Blautia wexlerae DSM 19850,Firmicutes,
V1.UC42.0__NODE_97_length_88173_cov_17.7307__42951__nrps__ANTISMASH__18913_61864,2.967500748,-,-,-,0.213827244,N/A,N/A,Unassigned,
V1.CD25.4__NODE_574_length_47852_cov_26.0114__41362__nrps__ANTISMASH__6490_47852,2.90333205,-,-,-,0.232924175,N/A,N/A,Unassigned,
O2.UC19.2__NODE_3466_length_6561_cov_1.87212__6561__arylpolyene__ANTISMASH__0_6561,2.980015554,-,-,-,0.584042383,NZ_CYYQ01000001,Alistipes finegoldii,Bacteroidetes,
V1.UC53.4__NODE_5631_length_5378_cov_196.093__5378__arylpolyene__ANTISMASH__0_5378,0,-,-,-,-,N/A,N/A,Unassigned,
V1.CD34.0__NODE_4414_length_8732_cov_1.80108__8732__nrps__ANTISMASH__0_8732,2.344707361,-,-,-,0.17089665,N/A,N/A,Unassigned,
O2.UC27.0__NODE_220_length_74302_cov_3.88206__39519__nrps__ANTISMASH__34783_74302,1.741616325,-,-,-,0.43932307,N/A,N/A,Unassigned,
O2.UC49.2__NODE_1368_length_15514_cov_5.3825__15292__bacteriocin__ANTISMASH__222_15514,2.339073373,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC36.0__NODE_3326_length_8928_cov_6.99786__8928__microcin__ANTISMASH__0_8928,2.877806657,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.CD15.3__NODE_827_length_38994_cov_4.72174__38994__nrps__ANTISMASH__0_38994,2.49371151,CD,2.706713608,0.001847604,0.001847604,NZ_CYZU01000010,Faecalicatena contorta,Firmicutes,
V1.UC26.4__NODE_35_length_189049_cov_13.4329__42953__nrps__ANTISMASH__104265_147218,3.335645578,C,3.071520047,0.003130517,0.003130517,N/A,N/A,Unassigned,
V1.UC16.0__NODE_14_length_168498_cov_15.1301__49012__nrps__ANTISMASH__89799_138811,2.797502788,-,-,-,0.586543543,N/A,N/A,Unassigned,
O2.UC57.2__NODE_3370_length_8686_cov_1.56923__8686__arylpolyene__ANTISMASH__0_8686,2.975255568,-,-,-,0.134797113,NZ_PJKP01000001,Akkermansia muciniphila,Verrucomicrobia,
O2.UC30.0__NODE_2679_length_11096_cov_1.72493__11003__glycocin__ANTISMASH__93_11096,2.890448446,-,-,-,0.044422944,NZ_PYLP01000016,Lachnoclostridium sp. SNUG30370,Firmicutes,
V1.UC1.0__NODE_143_length_67550_cov_5.59133__45408__nrps__ANTISMASH__0_45408,3.880288841,C,3.398601697,0.000251953,0.000251953,NC_012781,Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990) (Eubacterium rectale),Firmicutes,
O2.UC38.0__NODE_1910_length_9649_cov_14.1401__9649__bacteriocin__ANTISMASH__0_9649,3.574196951,-,-,-,0.067382449,NZ_QIXM01000020,Klebsiella variicola,Proteobacteria,
V1.CD24.0__NODE_686_length_28812_cov_2.16991__28812__nrps__ANTISMASH__0_28812,1.696654476,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.CD6.4__NODE_97_length_81392_cov_6.54071__10957__bacteriocin__ANTISMASH__51098_62055,2.614741367,CD,2.612198197,0.008932809,0.008932809,N/A,N/A,Unassigned,
V1.UC40.0__NODE_6_length_212706_cov_12.5054__23150__lantipeptide__ANTISMASH__29479_52629,3.443714,-,-,-,0.640623393,NZ_CZAW01000034,Blautia wexlerae,Firmicutes,
V1.CD25.4__NODE_6436_length_5714_cov_5.88426__5714__arylpolyene__ANTISMASH__0_5714,2.834397337,CD,2.65446828,0.008932809,0.008932809,N/A,N/A,Unassigned,
O2.UC1.2__NODE_60_length_103480_cov_9.25354__27227__nrps__ANTISMASH__76253_103480,3.367461948,-,-,-,0.088119766,N/A,N/A,Unassigned,
O2.UC22.2__NODE_5539_length_5854_cov_1.58769__5854__bacteriocin__ANTISMASH__0_5854,1.796177598,-,-,-,0.136937121,N/A,N/A,Unassigned,
O2.UC27.0__NODE_2570_length_10735_cov_3.64551__10735__lantipeptide__ANTISMASH__0_10735,2.03181509,-,-,-,0.340920066,N/A,N/A,Unassigned,
O2.UC60.2__NODE_673_length_25970_cov_4.13579__25970__ladderane-arylpolyene__ANTISMASH__0_25970,2.327623944,-,-,-,0.661108793,N/A,N/A,Unassigned,
O2.UC23.2__NODE_4776_length_7018_cov_2.05831__7018__nrps__ANTISMASH__0_7018,0.875478603,-,-,-,0.586543543,N/A,N/A,Unassigned,
O2.UC37.2__NODE_585_length_42521_cov_3.87993__19326__lantipeptide__ANTISMASH__23195_42521,2.309753106,-,-,-,0.070640189,N/A,N/A,Unassigned,
V1.CD21.0__NODE_1626_length_11571_cov_10.4784__11571__lantipeptide__ANTISMASH__0_11571,2.787493637,CD,3.086338923,0.008932809,0.008932809,N/A,N/A,Unassigned,
V1.UC10.2__NODE_987_length_26349_cov_2.62448__26349__nrps__ANTISMASH__0_26349,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC34.0__NODE_4033_length_5549_cov_1.27903__5549__nrps__ANTISMASH__0_5549,4.022644934,-,-,-,0.251817724,NZ_ADMO01000148,Bacteroides ovatus SD CMC 3f,Bacteroidetes,
V1.UC51.4__NODE_227_length_63206_cov_4.24081__48936__nrps__ANTISMASH__0_48936,1.398934406,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.CD29.0__NODE_5078_length_7195_cov_1.52493__7195__nrps__ANTISMASH__0_7195,2.050349284,-,-,-,0.340920066,N/A,N/A,Unassigned,
O2.UC56.2__NODE_3750_length_7746_cov_1.73501__7746__arylpolyene__ANTISMASH__0_7746,2.929605834,-,-,-,0.057176295,NZ_JH376616,Paraprevotella clara YIT 11840,Bacteroidetes,
O2.UC47.0__NODE_324_length_41852_cov_7.25715__37403__arylpolyene__ANTISMASH__0_37403,0,-,-,-,-,N/A,N/A,Unassigned,
V1.CD16.0__NODE_1471_length_16675_cov_3.03171__16675__lantipeptide__ANTISMASH__0_16675,2.171228025,-,-,-,0.268836049,N/A,N/A,Unassigned,
O2.UC24.2__NODE_166_length_70968_cov_4.91255__33908__nrps__ANTISMASH__0_33908,2.504509137,-,-,-,0.136937121,N/A,N/A,Unassigned,
V1.CD36.0__NODE_339_length_67948_cov_6.92317__46880__t1pks__ANTISMASH__21068_67948,1.707252782,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.CD16.0__NODE_1727_length_14933_cov_12.0138__14933__resorcinol__ANTISMASH__0_14933,3.809418039,-,-,-,0.540083447,NZ_LT984899,Butyricimonas sp. Marseille-P4593,Bacteroidetes,
O2.UC50.2__NODE_150_length_62251_cov_2.59613__30624__lantipeptide__ANTISMASH__31627_62251,3.201809189,-,-,-,0.237751482,N/A,N/A,Unassigned,
V1.UC52.1__NODE_1_length_435892_cov_13.1268__10318__bacteriocin__ANTISMASH__26278_36596,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC57.0__NODE_4652_length_6645_cov_3.78483__6645__arylpolyene__ANTISMASH__0_6645,4.668944592,CD,4.078553348,0.001889177,0.001889177,NZ_JNHM01000031,Bacteroides vulgatus str. 3975 RP4,Bacteroidetes,
V1.CD38.0__NODE_1836_length_19343_cov_4.46936__19343__other__ANTISMASH__0_19343,2.272509148,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.CD34.0__NODE_94_length_99029_cov_7.35412__55735__arylpolyene__ANTISMASH__5913_61648,3.128687911,-,-,-,0.17089665,N/A,N/A,Unassigned,
V1.UC58.0__NODE_832_length_28573_cov_3.7611__28573__nrps__ANTISMASH__0_28573,1.67480289,-,-,-,0.268836049,N/A,N/A,Unassigned,
O2.UC27.2__NODE_403_length_44525_cov_2.11642__20156__lantipeptide__ANTISMASH__11745_31901,2.05764151,-,-,-,0.586543543,NZ_AGBV01000006,Streptococcus salivarius M18,Firmicutes,
V1.UC50.1__NODE_168_length_84856_cov_9.80959__10168__bacteriocin__ANTISMASH__33881_44049,2.706658956,-,-,-,0.067382449,NZ_AGHX01000086,Lactococcus lactis subsp. lactis CNCM I-1631,Firmicutes,
O2.UC31.2__NODE_1581_length_16385_cov_1.87281__16385__other__ANTISMASH__0_16385,3.449257476,-,-,-,0.163276869,NZ_CYXR01000007,Coprococcus comes,Firmicutes,
V1.UC35.4__NODE_759_length_43394_cov_5.91573__23518__lantipeptide__ANTISMASH__19876_43394,2.720308513,-,-,-,0.22622211,N/A,N/A,Unassigned,
O2.UC9.2__NODE_1944_length_16161_cov_1.95685__16161__nrps__ANTISMASH__0_16161,1.936662794,-,-,-,0.17089665,N/A,N/A,Unassigned,
V1.UC52.1__NODE_475_length_50230_cov_2.94288__14251__lantipeptide__ANTISMASH__0_14251,3.840278863,CD,3.401813813,0.001917905,0.001917905,NZ_AXVN01000070,Blautia wexlerae DSM 19850,Firmicutes,
V1.CD18.3__NODE_1194_length_14737_cov_2.43414__14737__resorcinol__ANTISMASH__0_14737,2.045243956,-,-,-,0.347704122,NZ_UGHS01000002,Haemophilus pittmaniae,Proteobacteria,
O2.UC43.0__NODE_4064_length_5742_cov_1.57429__5742__arylpolyene__ANTISMASH__0_5742,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC51.2__NODE_238_length_77858_cov_4.52543__60208__transatpks__ANTISMASH__2641_62849,2.108837884,-,-,-,0.268836049,N/A,N/A,Unassigned,
V1.CD16.0__NODE_460_length_34691_cov_2.67029__29176__arylpolyene__ANTISMASH__5515_34691,2.995055139,-,-,-,0.213827244,N/A,N/A,Unassigned,
O2.UC23.2__NODE_52_length_75146_cov_2.2896__18508__lantipeptide__ANTISMASH__56638_75146,2.431712001,-,-,-,0.037421997,NC_006448,Streptococcus thermophilus (strain ATCC BAA-250 / LMG 18311),Firmicutes,
V1.CD38.0__NODE_2_length_378362_cov_7.25396__30136__terpene__ANTISMASH__348226_378362,3.246721596,-,-,-,0.037084029,NZ_PJKR01000001,Akkermansia muciniphila,Verrucomicrobia,
V1.CD27.0__NODE_4871_length_6213_cov_1.81796__6213__bacteriocin__ANTISMASH__0_6213,2.408667213,CD,2.679526785,0.004991744,0.004991744,NZ_GG657680,Blautia hydrogenotrophica DSM 10507,Firmicutes,
O2.UC31.0__NODE_313_length_40873_cov_2.50274__40873__nrps-bacteriocin__ANTISMASH__0_40873,1.958778451,-,-,-,0.340920066,N/A,N/A,Unassigned,
V1.UC17.2__NODE_5065_length_6170_cov_8.05658__6170__nrps__ANTISMASH__0_6170,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC9.0__NODE_6_length_80831_cov_1.98712__44248__nrps__ANTISMASH__3056_47304,3.163595949,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.CD20.4__NODE_183_length_85609_cov_4.36619__23461__arylpolyene__ANTISMASH__62148_85609,2.146440745,-,-,-,0.065953933,N/A,N/A,Unassigned,
V1.UC43.0__NODE_249_length_74328_cov_10.861__47686__arylpolyene__ANTISMASH__12580_60266,3.054335507,-,-,-,0.045195092,N/A,N/A,Unassigned,
V1.CD35.0__NODE_14_length_250241_cov_112.384__41140__resorcinol__ANTISMASH__206545_247685,3.845799903,-,-,-,0.49397898,NZ_JH724082,Bacteroides caccae CL03T12C61,Bacteroidetes,
V1.UC3.0__NODE_1393_length_13520_cov_6.27545__13520__lantipeptide__ANTISMASH__0_13520,3.267029055,-,-,-,0.506113113,NZ_CYXV01000003,Roseburia faecis,Firmicutes,
O2.UC58.0__NODE_3489_length_8946_cov_5.93533__8946__nrps__ANTISMASH__0_8946,3.673196747,-,-,-,0.134389266,N/A,N/A,Unassigned,
O2.UC55.0__NODE_5538_length_6976_cov_1.15865__6976__other__ANTISMASH__0_6976,2.833325738,C,2.643408518,0.002397524,0.002397524,N/A,N/A,Unassigned,
O2.UC29.0__NODE_3668_length_6344_cov_0.92463__6344__terpene__ANTISMASH__0_6344,3.205139466,-,-,-,0.05366525,NZ_PJLM01000001,Akkermansia muciniphila,Verrucomicrobia,
O2.UC55.2__NODE_6143_length_5308_cov_5.20312__5308__lantipeptide__ANTISMASH__0_5308,3.713819991,-,-,-,0.790008127,NZ_ACII02000003,Ruminococcus sp. 5_1_39BFAA,Firmicutes,
V1.CD18.3__NODE_40_length_166683_cov_10.5209__59165__nrps-t1pks__ANTISMASH__61574_120739,3.61749996,CD,3.296371957,8.70E-06,8.70E-06,NZ_NOHD01000013,Escherichia coli,Proteobacteria,
V1.UC17.2__NODE_5086_length_6146_cov_5.5733__6146__arylpolyene__ANTISMASH__0_6146,2.225169818,-,-,-,0.268836049,NZ_LT985750,Alistipes sp. Marseille-P5061,Bacteroidetes,
O2.UC2.2__NODE_860_length_29003_cov_4.74451__29003__lantipeptide__ANTISMASH__0_29003,2.789346334,-,-,-,0.397520592,N/A,N/A,Unassigned,
V1.UC11.5__NODE_263_length_78317_cov_12.5753__52597__nrps__ANTISMASH__21910_74507,1.554544247,-,-,-,0.926582373,NZ_BAIJ02000004,Clostridiales bacterium VE202-27,Firmicutes,
O2.UC44.0__NODE_2027_length_12975_cov_1.86741__12975__lantipeptide__ANTISMASH__0_12975,3.829370603,-,-,-,0.218837067,NZ_CYZP01000002,Blautia obeum,Firmicutes,
V1.UC14.1__NODE_669_length_30093_cov_3.78657__28190__bacteriocin__ANTISMASH__1903_30093,3.026905303,-,-,-,0.065953933,NZ_JXVP01000042,Escherichia coli,Proteobacteria,
O2.UC17.2__NODE_2993_length_10499_cov_2.37294__10499__arylpolyene__ANTISMASH__0_10499,2.111640642,-,-,-,0.065953933,N/A,N/A,Unassigned,
V1.UC62.0__NODE_383_length_65807_cov_10.8289__43303__nrps__ANTISMASH__0_43303,2.727776457,-,-,-,0.17089665,N/A,N/A,Unassigned,
O2.UC49.0__NODE_692_length_30309_cov_27.0068__30309__nrps__ANTISMASH__0_30309,3.040630415,-,-,-,0.213827244,N/A,N/A,Unassigned,
V1.UC2.0__NODE_3809_length_8015_cov_2.12236__8015__lassopeptide__ANTISMASH__0_8015,2.205578582,-,-,-,0.347704122,NZ_LXOU01000007,Streptococcus salivarius,Firmicutes,
V1.CD38.0__NODE_831_length_35758_cov_10.3844__35758__nrps__ANTISMASH__0_35758,2.32528253,-,-,-,0.213827244,N/A,N/A,Unassigned,
V1.CD41.0__NODE_943_length_35244_cov_101.614__30625__resorcinol__ANTISMASH__0_30625,3.727585415,-,-,-,0.036124033,N/A,N/A,Unassigned,
O2.UC14.2__NODE_3905_length_7470_cov_1.20445__7470__bacteriocin__ANTISMASH__0_7470,1.608048,-,-,-,0.268836049,N/A,N/A,Unassigned,
O2.UC38.2__NODE_656_length_25115_cov_6.9492__25115__nrps__ANTISMASH__0_25115,3.077879816,-,-,-,0.347704122,NZ_QIXM01000038,Klebsiella variicola,Proteobacteria,
